fecha;Linea;Cantidad
01/01/2026;CORTOS;7005
01/01/2026;SOBRETODO;4808
01/01/2026;CALZADO;1104
01/01/2026;DEPORTIVO;235
01/01/2026;PANTALONES DE MODA;2670
01/01/2026;ACCESORIOS;6519
01/01/2026;PRODUCTOS DE MODA;1984
01/01/2026;ROPA INTERIOR;2219
01/01/2026;MARROQUINERIA;2460
01/02/2026;PANTALON;13462
01/02/2026;CAMISETA;29663
01/02/2026;BLUSA;1923
01/02/2026;CORTOS;7196
01/02/2026;SOBRETODO;6785
01/02/2026;CALZADO;1187
01/02/2026;DEPORTIVO;243
01/02/2026;PANTALONES DE MODA;3167
01/02/2026;ACCESORIOS;8540
01/02/2026;PRODUCTOS DE MODA;2067
01/02/2026;ROPA INTERIOR;2467
01/02/2026;MARROQUINERIA;2636
01/03/2026;PANTALON;12719
01/03/2026;CAMISETA;27655
